hasPeak.An_rpdA_20h_HA_1	hasPeak.An_rpdA_48h_HA_1	group	pathway_id	Pathway_Name	Gene_Found	Gene_Pathway	Percentage	pvalue	pvalueAdj	geneIds
FALSE	TRUE	2	01100	Metabolic pathways	93	904	0.1	1.37360891868873e-07	1.74448332673468e-05	AN0156.2/AN0192.2/AN0385.2/AN0567.2/AN0579.2/AN0708.2/AN0752.2/AN0851.2/AN0910.2/AN0942.2/AN1063.2/AN1135.2/AN1136.2/AN1140.2/AN1193.2/AN1409.2/AN1502.2/AN1673.2/AN1726.2/AN1733.2/AN1743.2/AN1804.2/AN1810.2/AN1811.2/AN1883.2/AN1965.2/AN2133.2/AN2154.2/AN2235.2/AN2272.2/AN2334.2/AN2359.2/AN2497.2/AN2621.2/AN2622.2/AN2653.2/AN2828.2/AN2860.2/AN2896.2/AN2901.2/AN3184.2/AN3201.2/AN3291.2/AN3402.2/AN3459.2/AN3569.2/AN3733.2/AN3741.2/AN3837.2/AN3866.2/AN3903.2/AN3916.2/AN4055.2/AN4058.2/AN4082.2/AN4372.2/AN4718.2/AN5105.2/AN5310.2/AN5571.2/AN5690.2/AN5790.2/AN5812.2/AN5833.2/AN5883.2/AN5884.2/AN5902.2/AN5919.2/AN5984.2/AN6866.2/AN7000.2/AN7108.2/AN7152.2/AN7603.2/AN7641.2/AN7666.2/AN7691.2/AN7745.2/AN7864.2/AN7865.2/AN8049.2/AN8138.2/AN8216.2/AN8217.2/AN8396.2/AN8559.2/AN8657.2/AN8709.2/AN8891.2/AN8977.2/AN9106.2/AN9108.2/AN9446.2
FALSE	TRUE	2	00511	Other glycan degradation	4	9	0.44	0.000622906795224768	0.0395545814967728	AN1502.2/AN1742.2/AN3201.2/AN8149.2
FALSE	TRUE	2	00640	Propanoate metabolism	6	21	0.29	0.00201753642657622	0.0544959862950471	AN1193.2/AN1409.2/AN1726.2/AN5833.2/AN7000.2/AN8559.2
FALSE	TRUE	2	04070	Phosphatidylinositol signaling system	5	16	0.31	0.00218002413835168	0.0544959862950471	AN0156.2/AN1136.2/AN2047.2/AN6880.2/AN7745.2
FALSE	TRUE	2	00561	Glycerolipid metabolism	8	33	0.24	0.00221807185352456	0.0544959862950471	AN1671.2/AN2860.2/AN3916.2/AN5919.2/AN7108.2/AN7152.2/AN8138.2/AN9106.2
FALSE	TRUE	2	00400	Phenylalanine, tyrosine and tryptophan biosynthesis	6	22	0.27	0.00272233163299546	0.0544959862950471	AN0708.2/AN1135.2/AN1137.2/AN1673.2/AN6866.2/AN8709.2
FALSE	TRUE	2	00514	Other types of O-glycan biosynthesis	2	4	0.5	0.00300371578004197	0.0544959862950471	AN2752.2/AN5105.2
FALSE	TRUE	2	00603	Glycosphingolipid biosynthesis - globo and isoglobo series	3	8	0.38	0.00382272294134148	0.0591997822840021	AN1502.2/AN7152.2/AN8138.2
FALSE	TRUE	2	01130	Biosynthesis of antibiotics	34	270	0.13	0.00419526016185842	0.0591997822840021	AN0385.2/AN0579.2/AN0708.2/AN1135.2/AN1193.2/AN1409.2/AN1673.2/AN1726.2/AN1810.2/AN1883.2/AN1965.2/AN2334.2/AN2621.2/AN2622.2/AN2860.2/AN2901.2/AN3184.2/AN3741.2/AN3866.2/AN3867.2/AN4058.2/AN5571.2/AN5790.2/AN5984.2/AN6162.2/AN6866.2/AN7000.2/AN7108.2/AN7818.2/AN7821.2/AN8216.2/AN8559.2/AN8709.2/AN8977.2
FALSE	TRUE	2	01110	Biosynthesis of secondary metabolites	41	358	0.11	0.00575674445944853	0.0731106546349963	AN0385.2/AN0579.2/AN0708.2/AN0851.2/AN0910.2/AN1135.2/AN1193.2/AN1409.2/AN1671.2/AN1673.2/AN1726.2/AN1743.2/AN1804.2/AN1810.2/AN1883.2/AN1965.2/AN2154.2/AN2334.2/AN2828.2/AN2860.2/AN2901.2/AN3184.2/AN3291.2/AN3741.2/AN3866.2/AN3903.2/AN4058.2/AN5571.2/AN5690.2/AN5790.2/AN6866.2/AN7000.2/AN7108.2/AN7641.2/AN7691.2/AN7865.2/AN8216.2/AN8396.2/AN8559.2/AN8709.2/AN8977.2
FALSE	TRUE	2	00311	Penicillin and cephalosporin biosynthesis	2	5	0.4	0.00698262167348059	0.0806175411392759	AN2621.2/AN2622.2
FALSE	TRUE	2	00360	Phenylalanine metabolism	7	33	0.21	0.00843056441378672	0.0892234733792428	AN1140.2/AN2662.2/AN2879.2/AN3291.2/AN5690.2/AN7641.2/AN8709.2
FALSE	TRUE	2	00515	Mannose type O-glycan biosynthesis	1	3	0.33	0.0245087547755316	0.235639508606318	AN5105.2
FALSE	TRUE	2	03440	Homologous recombination	4	19	0.21	0.0259760088227437	0.235639508606318	AN1237.2/AN3619.2/AN4407.2/AN4555.2
FALSE	TRUE	2	00562	Inositol phosphate metabolism	5	26	0.19	0.0278974474932118	0.23619838877586	AN0156.2/AN1136.2/AN5984.2/AN7691.2/AN7745.2
FALSE	TRUE	2	00254	Aflatoxin biosynthesis	2	8	0.25	0.0315183325903379	0.239340320163743	AN7818.2/AN7821.2
FALSE	TRUE	2	00900	Terpenoid backbone biosynthesis	4	20	0.2	0.0320376806518396	0.239340320163743	AN0579.2/AN1409.2/AN3867.2/AN6162.2
FALSE	TRUE	2	04120	Ubiquitin mediated proteolysis	8	50	0.16	0.0346524976925589	0.24449262260861	AN0482.2/AN2212.2/AN2413.2/AN5235.2/AN5495.2/AN5593.2/AN7577.2/AN8702.2
FALSE	TRUE	2	00330	Arginine and proline metabolism	7	43	0.16	0.038595918136598	0.257983242281471	AN1733.2/AN1810.2/AN2662.2/AN2879.2/AN2901.2/AN3291.2/AN8709.2
FALSE	TRUE	2	00590	Arachidonic acid metabolism	1	4	0.25	0.0459716889467521	0.291920224811876	AN5812.2
TRUE	FALSE	3	00904	Diterpenoid biosynthesis	1	1	1	0	0	AN1598.2
TRUE	FALSE	3	01100	Metabolic pathways	81	904	0.09	0.000508919070488555	0.027353680924276	AN0110.2/AN0205.2/AN0231.2/AN0354.2/AN0551.2/AN0670.2/AN0913.2/AN0952.2/AN1503.2/AN1598.2/AN1901.2/AN1915.2/AN1968.2/AN2261.2/AN2286.2/AN2306.2/AN2315.2/AN2316.2/AN2525.2/AN2583.2/AN2684.2/AN2910.2/AN2951.2/AN3030.2/AN3059.2/AN3168.2/AN3169.2/AN3309.2/AN3388.2/AN3920.2/AN4154.2/AN4336.2/AN4380.2/AN4591.2/AN4770.2/AN4774.2/AN4793.2/AN4888.2/AN4975.2/AN5311.2/AN5435.2/AN5497.2/AN5601.2/AN5606.2/AN5616.2/AN5842.2/AN5861.2/AN5908.2/AN6092.2/AN6255.2/AN6276.2/AN6580.2/AN6644.2/AN6645.2/AN6710.2/AN6711.2/AN6717.2/AN7051.2/AN7211.2/AN7278.2/AN7430.2/AN7459.2/AN7461.2/AN7488.2/AN7489.2/AN7502.2/AN7625.2/AN7629.2/AN7832.2/AN8012.2/AN8068.2/AN8241.2/AN8283.2/AN8754.2/AN8872.2/AN8907.2/AN9120.2/AN9400.2/AN9401.2/AN9403.2/AN9470.2
TRUE	FALSE	3	00010	Glycolysis / Gluconeogenesis	11	46	0.24	0.000646149943093135	0.027353680924276	AN2286.2/AN2583.2/AN3030.2/AN3059.2/AN4591.2/AN4888.2/AN5435.2/AN5842.2/AN5908.2/AN7459.2/AN9403.2
TRUE	FALSE	3	00780	Biotin metabolism	3	7	0.43	0.00210617102156963	0.0668709299348359	AN6644.2/AN6645.2/AN7489.2
TRUE	FALSE	3	03010	Ribosome	16	96	0.17	0.00450163054884492	0.100810191405366	AN0776.2/AN0907.2/AN1122.2/AN4060.2/AN4308.2/AN4494.2/AN4560.2/AN4730.2/AN4777.2/AN4916.2/AN5222.2/AN5520.2/AN5979.2/AN5997.2/AN7354.2/AN8704.2
TRUE	FALSE	3	04139	Mitophagy - yeast	7	31	0.23	0.00584567329398942	0.100810191405366	AN0040.2/AN0821.2/AN2939.2/AN4887.2/AN7697.2/AN7771.2/AN8874.2
