hasPeak.An_sntB_20h_HA_1	hasPeak.An_sntB_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0019953	sexual reproduction	40	40/1175	AN4998/AN4997/AN4894/AN4685/AN4601/AN8044/AN8071/AN4263/AN10516/AN10515/AN10504/AN3913/AN3583/AN7104/AN7487/AN7743/AN6340/AN6312/AN6305/AN6221/AN6190/AN5798/AN6866/AN1376/AN0931/AN0472/AN0144/AN1475/AN1661/AN2047/AN2129/AN2426/AN2489/AN2520/AN3435/AN2755/AN5791/AN5686/AN5635/AN5619
FALSE	TRUE	2	GO:0019954	asexual reproduction	32	32/1175	AN5021/AN4953/AN4706/AN8853/AN8071/AN8273/AN4263/AN10515/AN3913/AN3735/AN7104/AN7487/AN6341/AN6305/AN6037/AN10184/AN1324/AN0931/AN0144/AN0118/AN1485/AN1661/AN1713/AN1875/AN1937/AN2047/AN2129/AN2489/AN3470/AN3441/AN3435/AN5635
FALSE	TRUE	2	GO:0022414	reproductive process	56	56/1175	AN10621/AN4998/AN4997/AN4894/AN4685/AN4601/AN8713/AN8044/AN8071/AN8182/AN8282/AN4279/AN4263/AN10516/AN10515/AN10504/AN3913/AN3583/AN7104/AN7007/AN7423/AN7487/AN7743/AN6340/AN6312/AN6305/AN6221/AN6190/AN5798/AN6866/AN1376/AN1324/AN1170/AN0931/AN0472/AN10063/AN0144/AN0118/AN1475/AN1546/AN1661/AN1875/AN1937/AN2047/AN2128/AN2129/AN2426/AN2489/AN2520/AN3435/AN2854/AN2755/AN5791/AN5686/AN5635/AN5619
FALSE	TRUE	2	GO:0032505	reproduction of a single-celled organism	28	28/1175	AN10621/AN4997/AN4685/AN4601/AN8713/AN8071/AN8282/AN10516/AN3735/AN7104/AN7007/AN7487/AN7743/AN1324/AN1170/AN0931/AN0144/AN1661/AN1713/AN1875/AN2047/AN2489/AN2520/AN2854/AN2755/AN5686/AN5635/AN5619
FALSE	TRUE	2	GO:0055114	oxidation-reduction process	78	78/1175	AN4822/AN4780/AN4743/AN12465/AN8866/AN8801/AN8793/AN8757/AN8078/AN3973/AN3913/AN3873/AN12478/AN3741/AN3531/AN7364/AN7320/AN7267/AN7008/AN10950/AN6297/AN6272/AN5986/AN5985/AN5984/AN5916/AN5837/AN6525/AN6576/AN6658/AN6752/AN6933/AN9315/AN1132/AN1131/AN1059/AN0914/AN0912/AN0868/AN0839/AN0606/AN10099/AN0432/AN0423/AN0377/AN10060/AN0174/AN9007/AN1469/AN10215/AN1598/AN1731/AN1733/AN1743/AN1868/AN1897/AN1899/AN1921/AN1932/AN10283/AN9114/AN9075/AN3256/AN3253/AN2967/AN2866/AN2860/AN2835/AN5162/AN5178/AN5206/AN5790/AN5690/AN5665/AN5646/AN5644/AN5613/AN5276
FALSE	TRUE	2	GO:0006807	nitrogen compound metabolic process	322	322/1175	AN10621/AN11773/AN4997/AN4972/AN4953/AN4936/AN4901/AN4894/AN4872/AN4864/AN4837/AN4830/AN4743/AN4678/AN4652/AN4546/AN4521/AN4465/AN4430/AN4404/AN4298/AN8870/AN8867/AN8866/AN8865/AN8853/AN8827/AN8713/AN7951/AN7971/AN8035/AN8044/AN8074/AN8078/AN8182/AN8190/AN8191/AN8272/AN8282/AN11072/AN8293/AN4286/AN4279/AN4272/AN4271/AN4251/AN4244/AN4234/AN10515/AN4175/AN4174/AN4073/AN4057/AN10504/AN4018/AN4013/AN3913/AN3890/AN3879/AN10472/AN3866/AN3863/AN3840/AN3824/AN12478/AN3769/AN10444/AN3745/AN3725/AN11411/AN3683/AN10436/AN3666/AN10434/AN3637/AN3626/AN3593/AN3583/AN10929/AN10925/AN10911/AN7201/AN10900/AN7118/AN7104/AN7029/AN7019/AN7007/AN10877/AN7422/AN7423/AN7438/AN7479/AN10956/AN7526/AN7545/AN10950/AN10981/AN7666/AN7701/AN7748/AN10819/AN6438/AN6396/AN6374/AN6346/AN10800/AN6312/AN6305/AN6300/AN6293/AN6251/AN6221/AN6182/AN6110/AN6091/AN6037/AN5916/AN10740/AN5812/AN6496/AN6507/AN6517/AN6521/AN6561/AN6576/AN6577/AN6585/AN6610/AN6639/AN6698/AN6713/AN6726/AN6820/AN6832/AN10854/AN6866/AN6889/AN11250/AN6933/AN6968/AN9293/AN9315/AN9373/AN9395/AN1403/AN10184/AN1376/AN1358/AN1272/AN1232/AN1202/AN1198/AN1191/AN1179/AN1175/AN1170/AN1165/AN1132/AN1123/AN1095/AN1092/AN1059/AN1039/AN10131/AN0931/AN0914/AN0912/AN0891/AN0843/AN0840/AN0839/AN0816/AN0809/AN0808/AN0757/AN0748/AN0685/AN0609/AN0576/AN0486/AN0465/AN0445/AN0440/AN0407/AN0388/AN10059/AN0321/AN0295/AN0293/AN10063/AN0253/AN0252/AN0197/AN0174/AN0156/AN0144/AN0138/AN0106/AN0104/AN0092/AN0070/AN0065/AN10007/AN0040/AN8930/AN8902/AN8899/AN8894/AN9420/AN9424/AN12473/AN1406/AN1469/AN1485/AN1486/AN1502/AN1508/AN10215/AN1523/AN1546/AN1673/AN1731/AN1733/AN1743/AN1777/AN1798/AN1802/AN11793/AN1867/AN1874/AN1895/AN1896/AN1897/AN1898/AN1899/AN1904/AN1937/AN2002/AN2025/AN2129/AN12489/AN2144/AN2155/AN2163/AN10266/AN2180/AN2212/AN2213/AN2235/AN2237/AN2240/AN2243/AN2246/AN2256/AN2363/AN2373/AN12120/AN2422/AN2426/AN2464/AN2489/AN11962/AN9157/AN9113/AN9094/AN3470/AN3459/AN3435/AN3393/AN3369/AN3356/AN3313/AN3269/AN3169/AN3101/AN3031/AN3003/AN2967/AN2946/AN2905/AN2901/AN2854/AN2850/AN2848/AN2829/AN2796/AN2759/AN10336/AN2755/AN2623/AN8323/AN8426/AN8445/AN8473/AN8545/AN5114/AN5124/AN5133/AN5162/AN5206/AN5237/AN10649/AN5760/AN5722/AN5721/AN5691/AN5690/AN5674/AN10701/AN5655/AN5644/AN5643/AN5631/AN5619/AN5613/AN12437/AN5593/AN5588/AN5574/AN5569/AN5342
FALSE	TRUE	2	GO:0009056	catabolic process	104	104/1175	AN11773/AN4691/AN4546/AN4416/AN8007/AN8074/AN8078/AN8138/AN4278/AN4174/AN3913/AN3879/AN3837/AN10444/AN7029/AN7008/AN10877/AN7422/AN7428/AN10956/AN10950/AN7748/AN7847/AN6438/AN6305/AN6251/AN6182/AN6037/AN5985/AN5916/AN5812/AN6525/AN6639/AN6726/AN6752/AN6889/AN11250/AN1202/AN1198/AN1179/AN1132/AN1092/AN1059/AN0914/AN0891/AN0868/AN0576/AN0472/AN0445/AN0423/AN0388/AN10060/AN0295/AN0156/AN0137/AN0070/AN11143/AN8899/AN8890/AN8874/AN1418/AN1502/AN10215/AN1571/AN1713/AN1731/AN1733/AN1772/AN1895/AN1896/AN1897/AN1898/AN1899/AN2047/AN2076/AN10274/AN2212/AN2213/AN2240/AN2243/AN2246/AN2489/AN9113/AN9106/AN3470/AN3459/AN3441/AN3369/AN3201/AN3003/AN2901/AN8401/AN5133/AN5159/AN5162/AN5721/AN5655/AN5646/AN5644/AN5635/AN5613/AN5588/AN5491/AN5267
FALSE	TRUE	2	GO:0009058	biosynthetic process	223	223/1175	AN5021/AN10621/AN4997/AN4972/AN4953/AN4872/AN4864/AN4837/AN4830/AN4743/AN4691/AN4678/AN4652/AN4521/AN4465/AN4430/AN4303/AN8870/AN8867/AN8866/AN8865/AN8853/AN7951/AN7971/AN8035/AN8078/AN8191/AN8272/AN8282/AN11072/AN4279/AN4251/AN4234/AN4175/AN4073/AN10504/AN4013/AN3913/AN3879/AN10472/AN3863/AN3840/AN3824/AN12478/AN3769/AN11411/AN3683/AN10436/AN3666/AN3637/AN3626/AN3593/AN12400/AN10911/AN7123/AN7118/AN7104/AN7007/AN7423/AN7438/AN7479/AN7487/AN10956/AN7545/AN10981/AN7666/AN7701/AN7819/AN6443/AN6396/AN6346/AN6312/AN6305/AN6300/AN6293/AN6251/AN6221/AN6182/AN6091/AN6037/AN10740/AN5812/AN6496/AN6517/AN6521/AN6576/AN6610/AN6698/AN6820/AN6832/AN10854/AN6866/AN6880/AN6889/AN6968/AN9293/AN9373/AN9395/AN1403/AN1376/AN1272/AN1232/AN1202/AN1191/AN1179/AN1170/AN1165/AN1132/AN1123/AN1095/AN1039/AN10131/AN0912/AN0891/AN0843/AN0840/AN0839/AN0816/AN0809/AN0748/AN0716/AN0609/AN0579/AN0576/AN0486/AN0465/AN0445/AN0440/AN0432/AN0407/AN0388/AN10059/AN10060/AN0321/AN0295/AN10063/AN0253/AN0252/AN0197/AN0156/AN0138/AN0106/AN0104/AN0065/AN0040/AN8930/AN8902/AN8894/AN12473/AN1406/AN1409/AN1485/AN10215/AN1523/AN1546/AN1663/AN1673/AN1731/AN1733/AN1743/AN1777/AN1798/AN11793/AN1895/AN1896/AN1897/AN1898/AN1899/AN1937/AN2025/AN2047/AN12489/AN2163/AN2235/AN2240/AN2243/AN2246/AN2363/AN12120/AN2422/AN2426/AN2464/AN2489/AN11962/AN2564/AN9157/AN9113/AN9094/AN3470/AN3441/AN3435/AN3369/AN3356/AN3269/AN3169/AN3112/AN3101/AN3031/AN2905/AN2854/AN2850/AN2829/AN2796/AN10340/AN10336/AN2755/AN2623/AN8426/AN8473/AN5114/AN5124/AN5162/AN5206/AN10649/AN5691/AN10701/AN5655/AN5644/AN5643/AN5574/AN5569/AN5342/AN5324
FALSE	TRUE	2	GO:0009892	negative regulation of metabolic process	40	40/1175	AN10621/AN11773/AN4997/AN4546/AN4465/AN8282/AN4279/AN3913/AN3879/AN3725/AN7007/AN10956/AN7545/AN7748/AN6305/AN6293/AN6221/AN11250/AN1358/AN1272/AN1191/AN1179/AN1170/AN1132/AN1039/AN10059/AN0295/AN10063/AN0253/AN0156/AN0106/AN1485/AN1546/AN2246/AN2426/AN2489/AN9113/AN2854/AN10701/AN5643
FALSE	TRUE	2	GO:0009893	positive regulation of metabolic process	32	32/1175	AN4936/AN4546/AN4465/AN8865/AN8182/AN8282/AN7104/AN7423/AN10956/AN6293/AN10854/AN6889/AN1039/AN0931/AN0914/AN0891/AN0576/AN0388/AN0156/AN0106/AN9424/AN1546/AN11793/AN1937/AN2213/AN2246/AN2489/AN3435/AN3369/AN2854/AN2755/AN5722
